"Model","Classes","LogLik","parameters","n","AIC","AWE","BIC","CAIC","CLC","KIC","SABIC","ICL","Entropy","prob_min","prob_max","n_min","n_max","BLRT_val","BLRT_p"
1,1,-637.017317608173,6,150,1286.03463521635,1350.1622587455,1304.09844698092,1310.09844698092,1276.03463521635,1295.03463521635,1285.10959535934,-1304.09844698062,1,1,1,1,1,NA,NA
1,2,-616.314879878998,10,150,1252.629759758,1361.61910226521,1282.73611269896,1292.73611269896,1233.85312313271,1265.629759758,1251.08802666298,-1325.03471197144,0.61168168735498,0.748901563191348,0.935337490444722,0.26,0.74,41.4048754583498,0.0099009900990099
1,3,-605.71713103948,14,150,1239.43426207896,1392.32390750111,1281.58315619631,1295.58315619631,1212.84240489151,1256.43426207896,1237.27583574594,-1329.61922158508,0.704071406272782,0.832513279840033,0.887023554150084,0.0733333333333333,0.56,21.1954976790371,0.0099009900990099
1,4,-605.520568902511,18,150,1247.04113780502,1444.07293334539,1301.23257309876,1319.23257309876,1212.39221285213,1268.04113780502,1244.26601823399,-1368.08729650172,0.675537523551407,0.573928287687497,0.901745236657797,0.0866666666666667,0.626666666666667,0.393124273937019,0.920792079207921
1,5,-599.991032848083,22,150,1243.98206569617,1485.08163422605,1310.21604216628,1332.21604216628,1201.35045010652,1268.98206569617,1240.59025288713,-1385.05667083479,0.684192205176833,0.644786643872134,0.873647041218131,0.0533333333333333,0.533333333333333,11.059072108857,0.148514851485149
2,1,-637.017317608173,6,150,1286.03463521635,1350.1622587455,1304.09844698092,1310.09844698092,1276.03463521635,1295.03463521635,1285.10959535934,-1304.09844698062,1,1,1,1,1,NA,NA
2,2,-612.607575859452,13,150,1251.2151517189,1392.94103090877,1290.35341054216,1303.35341054216,1226.76579017555,1267.2151517189,1249.21089869538,-1312.5121300932,0.775319228320384,0.84338572535559,0.958891733012044,0.193333333333333,0.806666666666667,48.819483497442,0.0099009900990099
2,3,-594.997384525592,20,150,1229.99476905118,1448.92595565002,1290.20747493311,1310.20747493311,1191.4889942162,1252.99476905118,1226.91130286115,-1332.79266651177,0.747112582507975,0.84072113098945,0.994381967975032,0.113333333333333,0.466666666666667,35.2203826677201,0.0099009900990099
2,4,-575.783264367857,27,150,1205.56652873571,1501.52981204255,1286.85368167631,1313.85368167631,1153.17755131008,1235.56652873571,1201.40384937917,-1327.5752006276,0.805511287182252,0.845303831143243,0.99955551755516,0.0466666666666667,0.466666666666667,38.4282403154707,0.0198019801980198
2,5,-575.437340941016,34,150,1218.87468188203,1592.08401702471,1321.2362818813,1355.2362818813,1152.3885467379,1255.87468188203,1213.63278935897,-1376.64349440305,0.756932427932833,0.789857661455496,0.99960682198966,0.0466666666666667,0.313333333333333,0.691846853682364,0.465346534653465
3,1,-610.043633410393,12,150,1244.08726682079,1374.3425138791,1280.21489034994,1292.21489034994,1222.08726682079,1259.08726682079,1242.23718710677,-1280.21489034964,1,1,1,1,1,NA,NA
3,2,-606.953444302662,16,150,1245.90688860532,1420.63904750587,1294.07705331086,1310.07705331086,1215.51505911586,1264.90688860532,1243.4401156533,-1311.0754941798,0.804085255268123,0.623462157682148,0.986063845660481,0.0733333333333333,0.926666666666667,6.18037821546363,0.287128712871287
3,3,-598.472726048138,20,150,1236.94545209628,1455.64326532337,1297.1581579782,1317.1581579782,1198.67305063304,1259.94545209628,1233.86198590624,-1316.08252236119,0.86379926838043,0.882688255800252,0.970037220941247,0.106666666666667,0.72,16.9614365090461,0.0099009900990099
3,4,-593.481812394434,24,150,1234.96362478887,1497.80048548777,1307.21887184718,1331.21887184718,1188.63725820659,1261.96362478887,1231.26346536083,-1336.36181750103,0.836816708860131,0.819589699048339,0.95075390884672,0.0666666666666667,0.68,9.98182730740996,0.0297029702970297
3,5,-594.762365973791,28,150,1245.52473194758,1552.45884046136,1329.82252018228,1357.82252018228,1191.18619990319,1276.52473194758,1241.20787928154,-1366.18301342718,0.830733977805907,0.750830962178051,0.954049968342522,0.06,0.513333333333333,-2.561107158715,0.752475247524752
6,1,-610.043633410393,12,150,1244.08726682079,1374.3425138791,1280.21489034994,1292.21489034994,1222.08726682079,1259.08726682079,1242.23718710677,-1280.21489034964,1,1,1,1,1,NA,NA
6,2,-596.153084534276,25,150,1242.30616906855,1517.23142358466,1317.57205142096,1342.57205142096,1192.91267925725,1270.30616906855,1238.45183633101,-1422.51778104975,0.303255094350566,0.715803949854642,0.740007910387252,0.486666666666667,0.513333333333333,27.7810977522347,0.0693069306930693
6,3,-578.796820154469,38,150,1233.59364030894,1650.98113821881,1347.9977814846,1385.9977814846,1159.01442475038,1274.59364030894,1227.73505454787,-1409.84656496445,0.710392220720242,0.678479546855612,0.999999661078025,0.06,0.693333333333333,34.7125287596139,0.0495049504950495
6,4,-575.453688788592,51,150,1252.90737757718,1813.1925266231,1406.44977757609,1457.44977757609,1152.70702852909,1306.90737757718,1245.0445387926,-1427.45545645087,0.899825475951922,0.842637338414213,0.95485723832837,0.0333333333333333,0.72,6.68626273175505,0.613861386138614
6,5,-530.514084178667,64,150,1189.02816835733,1892.64589160674,1381.7088271795,1445.7088271795,1062.77176275225,1256.02816835733,1179.16107654923,-1416.64875385112,0.871797197458684,0.615371111654681,0.996992888781891,0.0533333333333333,0.613333333333333,89.8792092198485,0.0099009900990099
