"","Category","Parameter","Estimate","se","p","Class","Model","Classes"
"1","Means","Explore",0.269144150008689,0.200448270224848,0.179365486381044,1,2,4
"2","Means","Exploit",0.203526856241081,0.177044547761057,0.250316934370082,1,2,4
"3","Means","Deimplement",0.377838590262744,0.125329275744254,0.00257176566091231,1,2,4
"4","Means","Explore",1.43109698151021,0.351296406332824,4.62603046466417e-05,2,2,4
"5","Means","Exploit",2.12248810577064,0.0255812369848622,0,2,2,4
"6","Means","Deimplement",1.80351878727413,0.122243682271957,2.92233754606833e-49,2,2,4
"7","Means","Explore",0.593625218892073,0.492952577394247,0.228503094965682,3,2,4
"8","Means","Exploit",-0.0667128285967825,0.585816532574528,0.909332863446132,3,2,4
"9","Means","Deimplement",1.69018778626842,0.0504686729699888,6.77551822119294e-246,3,2,4
"10","Means","Explore",-0.489902755697239,0.14358704902734,0.000645149011390507,4,2,4
"11","Means","Exploit",-0.40092759813586,0.146012303591158,0.00603547114380426,4,2,4
"12","Means","Deimplement",-0.789177757874452,0.181030742799903,1.30444759197453e-05,4,2,4
